,ID_REF,GSM215632,GSM215633,GSM215636,GSM215639,GSM215642
110,ODF4,27.2,38.2,26.2,32.6,32.9
111,ODF4,16.7,26.5,15.7,25.2,23.3
112,CLEC4F,16.9,97.6,83.1,31.2,28.9
113,DEFB106A /// DEFB106B,56.4,24.4,146.5,135.9,78.2
114,DEFB106A /// DEFB106B,48.4,3.1,10.8,11.9,2.9
115,WFDC9,32.0,10.9,35.7,52.7,5.8
116,WFDC9,49.2,16.6,10.5,52.2,3.6
117,NEDD1,673.3,512.5,401.9,524.2,635.6
118,TTLL10,7.1,15.1,8.5,7.0,11.0
119,TTLL10,138.6,139.1,245.6,245.2,82.1
120,CALR3,29.4,2.1,10.7,16.2,7.7
121,C10orf25,45.4,29.6,9.5,5.2,6.9
122,ETV3,228.1,262.0,265.0,176.2,265.9
123,KLHL10,2.2,5.1,31.4,2.7,2.3
124,KLHL10,46.8,10.3,45.8,70.1,67.1
125,TM2D3,3593.8,4415.4,4034.0,3844.5,3746.1
126,ZNF485,324.8,696.8,280.1,346.1,277.3
127,WDR17,60.7,45.5,25.9,85.8,37.2
128,MFSD6L,6.8,11.9,12.8,15.0,24.5
129,CDH23 /// LOC100653137,11.7,12.9,14.4,11.3,7.3
130,ANKAR,31.5,38.6,67.4,62.1,32.7
131,MEGF11,5.9,5.7,5.6,5.9,1.3
132,GPR182,74.5,19.2,38.9,19.9,6.1
133,ESX1,25.5,5.0,29.8,6.7,25.4
134,C8orf12,2.8,15.1,46.0,1.6,11.8
135,LOC653486 /// SCGB1C1,3.3,5.4,26.9,4.0,13.4
136,DNAJC5G,21.8,10.9,90.6,80.0,28.3
137,WDR88,7.6,6.3,8.2,10.2,3.1
138,WDR88,2.8,16.0,11.8,8.9,7.2
139,PRUNE2,500.7,457.1,398.5,662.1,1427.5
140,MBD3L2,91.6,14.5,30.0,7.6,62.6
141,ADAMTSL1,5.3,34.6,8.7,2.9,2.4
142,MBD3L1,42.4,42.3,4.2,47.7,25.9
143,MBD3L1,7.3,31.4,8.1,47.0,10.1
144,FAM46D,3.1,55.2,24.3,23.6,18.6
145,SERPINB11,24.8,1.9,47.3,44.0,8.1
146,LINC00161,292.2,385.3,235.0,376.6,753.2
147,DSCR10,50.8,45.5,20.7,37.3,20.3
148,DSCR10,52.7,82.6,38.5,68.2,19.7
149,ABHD11,173.8,213.2,220.0,313.8,164.5
150,ACAP2,491.9,401.2,390.4,490.6,493.8
151,GAMT,611.3,724.8,443.2,756.9,420.0
152,GAMT,1217.8,1525.3,1126.6,1559.4,1005.7
153,PLCD3,26.9,143.2,99.6,73.9,40.4
154,IRF6,600.9,700.1,712.6,763.3,733.6
155,IRF6,108.9,240.6,317.2,391.4,228.2
156,PTPRC,16.2,1.0,6.2,3.4,11.6
157,MAN1A2,161.0,175.7,200.9,152.3,199.0
158,RAPH1,105.5,87.6,74.0,57.3,110.0
159,SMCR8,85.7,59.0,40.3,53.3,68.8
160,LACTB,501.7,395.0,413.3,513.6,644.6
161,LACTB,414.0,518.4,459.1,467.2,475.9
162,BNC1,2.2,1.1,43.4,3.1,17.3
163,MPP4,5.6,32.2,1.5,19.1,1.6
164,LACE1,135.2,122.8,132.4,111.9,80.8
165,IDI2,26.9,10.2,7.2,7.6,14.3
166,CYP11B1,9.0,13.8,12.0,4.7,14.1
167,TAF8,15.1,28.5,11.6,17.6,5.0
168,COBL,130.2,275.2,210.0,251.0,299.1
169,SLAMF6,72.1,65.6,77.5,102.7,74.8
170,ZSCAN20,50.5,89.9,60.2,101.3,34.2
171,ZSCAN20,83.4,114.8,89.9,81.2,39.9
172,GPBAR1,7.0,7.9,10.3,14.8,9.2
173,RHBDL2,151.6,94.0,65.3,152.3,127.5
174,FRAS1,12.3,30.3,87.9,126.1,103.4
175,BRSK1,88.6,60.8,30.4,25.2,18.3
176,CRB2,20.3,11.9,5.7,2.4,4.1
177,KCNE4,6.1,17.5,71.3,13.1,57.4
178,KCNE4,10.6,8.1,14.0,9.7,44.6
179,CD300LG,25.3,5.3,92.6,25.6,47.0
180,SLC34A3,398.3,488.9,351.7,594.7,398.1
181,CPA6,2.8,32.7,39.8,21.3,5.4
182,WBP2NL,6.5,4.5,6.5,34.3,4.0
183,HIPK1,86.9,51.7,54.7,54.8,21.1
184,HIPK1,300.0,212.3,242.9,255.1,278.8
185,MTBP,96.1,136.8,112.8,137.5,77.1
186,ACVR1C,25.4,36.6,92.2,31.2,53.0
187,TMEM74,75.8,52.1,58.9,31.5,50.0
188,TMEM74,34.8,1.0,6.1,1.5,33.4
189,TIGD4,30.4,16.0,27.9,62.4,7.6
190,TIGD4,70.5,104.3,80.5,36.5,39.8
191,ART5,16.5,10.9,16.5,11.0,15.0
192,FAM71C,12.4,13.0,14.0,6.2,6.5
193,C21orf67,130.9,61.3,17.7,28.1,26.1
194,NLRP11,43.1,31.6,66.7,60.5,76.1
195,ATP6V1C2,20.0,32.7,5.3,7.6,7.8
196,CLDN19,71.6,51.5,13.8,50.5,8.5
197,VTI1A,117.4,105.1,31.8,55.8,139.3
198,KIF6,3.0,28.3,9.6,7.5,11.8
199,IQCD,133.4,68.7,126.6,139.1,8.5
200,TAGAP,74.1,56.5,31.2,93.7,114.3
201,TAGAP,27.6,29.2,21.3,41.3,40.4
202,STON2,84.0,36.2,65.7,7.5,11.3
203,SERPINA12,91.0,117.7,123.3,74.0,15.3
204,LETM2,45.7,40.8,28.2,41.6,17.0
205,BSND,75.2,7.2,20.9,8.8,18.3
206,BSND,63.5,38.5,58.4,94.1,24.5
207,CLEC4C,38.7,35.6,6.7,1.2,10.7
208,NLRC4,7.5,6.6,9.1,10.1,8.4
209,NLRC4,8.1,57.8,4.0,22.4,22.5
210,PRSS36,94.5,79.3,41.3,88.9,59.7
211,ZDHHC15,263.0,139.3,179.4,70.4,68.1
212,RAI1,110.2,207.7,185.1,219.7,226.5
213,CDK15,36.2,23.4,13.4,26.5,6.8
214,ZNF570,119.3,101.9,87.0,135.1,184.0
215,AF131215.4,83.2,143.7,8.7,92.0,35.0
216,NUDT9P1,24.1,6.5,48.5,8.7,57.9
217,BTBD16,4.3,3.2,4.6,2.9,4.4
218,RTP3,20.4,65.3,13.0,37.8,77.2
219,RTP3,14.1,8.4,97.3,33.2,10.5
