,ID_REF,GSM215632,GSM215633,GSM215636,GSM215639,GSM215642
1942,RCBTB1,43.0,41.3,84.8,27.9,50.2
1943,EXOC3L1,15.7,52.7,21.5,18.6,9.5
1944,ACOT11,26.0,53.7,61.7,86.6,77.6
1945,LOC388882,11.5,6.9,63.1,67.4,46.6
1946,KLHL14,2.0,5.5,7.4,0.9,7.5
1947,KLHL14,9.6,61.7,101.7,14.0,18.2
1948,VIL1,27.8,129.3,109.7,97.7,33.3
1949,VIL1,17.6,45.6,26.3,56.4,77.9
1950,LINC01234,25.4,42.7,31.7,6.4,3.2
1951,ACAT1,10.6,21.7,40.8,36.6,55.6
1952,,119.9,111.9,92.7,76.0,91.8
1953,LOC554174,81.4,115.4,23.3,128.3,98.8
1954,ACAN,25.3,10.3,4.6,11.9,36.0
1955,BC070490,57.8,46.0,58.4,54.8,13.6
1956,NLRP12,9.5,14.2,32.4,6.8,66.2
1957,C21orf90,65.0,23.5,53.1,26.8,30.1
1958,C21orf90,159.1,54.6,103.5,86.4,95.9
1959,LOC101928921,43.8,74.7,74.5,59.5,57.9
1960,ZNF641,134.4,60.5,33.2,97.5,77.5
1961,C1orf110,4.1,2.5,5.8,42.5,41.6
1962,FGFR4,23.1,55.7,12.0,72.5,64.1
1963,FGFR4,146.2,126.1,144.2,132.9,82.5
1964,,15.6,69.5,58.0,38.3,23.9
1965,,2.5,61.5,56.1,43.1,45.0
1966,FILIP1L,79.1,64.7,2.6,20.8,3.1
1967,FILIP1L,5.5,38.9,9.5,17.1,22.0
1968,DIP2A,49.9,38.3,95.4,56.0,30.7
1969,DIP2A,68.4,83.8,125.1,32.2,100.8
1970,PDILT,12.5,3.4,3.7,3.5,11.4
1971,OK/SW-CL.58,36.7,17.3,84.1,78.0,36.9
1972,,32.2,129.7,98.7,87.9,32.5
1973,ZBTB26,298.6,219.5,202.8,288.7,264.8
1974,ACY3,15.2,63.8,13.7,30.4,14.1
1975,LINC00051,6.3,1.4,6.6,11.2,1.9
1976,LKAAEAR1,128.9,39.0,68.6,14.4,117.2
1977,ERICH1-AS1,15.5,62.8,26.2,7.3,14.5
1978,ATF3,491.0,510.9,452.3,426.8,229.4
1979,EQTN,1.3,40.2,38.1,21.2,18.9
1980,EQTN,2.0,5.5,3.6,15.4,3.0
1981,LINC00317,19.3,20.2,29.6,51.7,24.8
1982,HLA-DOB,86.7,68.0,35.2,51.2,37.6
1983,ZNF396,235.9,195.9,250.7,148.4,141.0
1984,SNX19,127.7,157.9,115.9,122.4,181.8
1985,GOLGA3,98.7,104.7,165.1,85.0,93.0
1986,SLC9C2,2.7,23.1,2.6,2.7,29.2
1987,AREL1,43.4,110.9,10.7,71.3,77.8
1988,RASGRF1,99.9,4.1,121.5,54.7,12.9
1989,RAG1,32.9,2.1,7.8,3.3,28.3
1990,LOC285902 /// ZNF273 /// ZNF479 /// ZNF733P,3.0,4.4,14.0,4.8,4.2
1991,PTGS2,27.4,20.1,2.1,4.9,3.8
1992,RASGEF1B,23.8,65.1,3.4,2.0,3.8
1993,OK/SW-CL.36,63.2,15.6,46.1,8.5,26.2
1994,IQCF1,40.8,56.8,72.7,74.1,20.4
1995,MGC39545,2.7,13.9,3.3,3.7,0.8
1996,RBL1,7.8,7.8,12.4,9.2,8.7
1997,RBL1,408.5,200.8,228.2,303.0,301.1
1998,WDR66,10.9,10.3,15.2,12.4,73.0
1999,WDR66,51.9,75.5,173.0,113.1,68.6
2000,SYNJ2,15.8,18.4,113.4,20.2,36.5
2001,ZFYVE16,18.3,96.2,5.1,73.6,8.0
2002,,41.0,47.5,68.6,12.1,63.0
2003,ZNF398,374.8,542.6,425.6,442.7,473.8
2004,IL16,76.7,67.6,109.6,48.1,70.3
2005,OR2C3,1.8,3.4,8.2,48.6,33.9
2006,CDHR1,40.1,19.4,64.6,45.2,9.2
2007,ARHGAP20,38.6,73.7,18.3,78.9,3.7
2008,SCARF1,90.1,58.0,105.6,50.8,16.8
2009,RGS12,22.3,8.6,9.3,60.4,41.6
2010,ADAM22,52.9,30.6,27.7,72.2,16.6
2011,TMEM26,9.5,43.8,37.9,29.1,10.2
2012,LOC101927705 /// P4HA2,28.7,102.1,60.3,13.9,15.9
2013,BRD3,70.5,50.0,38.1,2.8,36.2
2014,,13.5,17.0,5.6,9.9,4.5
2015,RGS12,8.3,22.9,9.5,45.2,91.3
2016,RGS12,3.6,6.2,9.3,3.2,2.7
2017,CLRN1,3.0,16.2,26.5,18.9,21.6
2018,CLRN1,2.9,10.0,60.9,8.9,11.6
2019,IDH1,14580.5,18006.2,19051.3,19455.1,13481.0
2020,EPB41L4A,4.1,2.5,2.7,1.3,3.0
2021,ABCC4,1171.5,1200.3,1223.6,1843.3,1405.8
2022,LINC00612,14.1,29.7,16.8,62.3,46.3
2023,NAGA,669.2,879.3,517.1,803.2,874.5
2024,TRPV5,52.1,21.4,42.4,52.1,43.8
2025,LHFPL5,12.9,57.7,43.3,64.5,5.2
2026,KLHL40,3.7,15.0,24.3,9.9,3.4
2027,CENPI,13.1,3.7,41.9,22.6,1.0
2028,TSPEAR,45.3,11.7,17.1,9.9,5.2
2029,TSPEAR,94.0,88.6,91.1,60.5,125.3
2030,C10orf53,11.2,49.7,90.8,71.7,52.0
2031,SYT9,70.7,46.2,26.1,17.4,8.7
2032,SYT9,61.0,22.3,37.4,62.1,12.5
2033,AVL9,0.7,26.0,6.0,0.5,4.9
2034,CCNG2,100.0,101.6,67.7,66.2,23.1
2035,NDUFS4,35.8,42.7,31.4,68.3,46.7
2036,LPGAT1,1163.6,772.6,886.8,1179.4,1193.3
2037,,4.2,3.2,65.9,8.7,17.2
2038,IKZF2,23.9,8.4,15.2,14.9,18.7
2039,GTPBP3,68.9,197.9,142.0,196.7,214.1
2040,USP32 /// USP6,111.9,111.0,129.7,141.9,110.5
2041,USP32 /// USP6,69.8,108.8,58.8,76.9,43.8
2042,WNK1,22.2,53.3,74.5,71.8,61.4
2043,TLL1,43.3,26.8,6.1,6.1,3.2
2044,MGC40069,9.3,41.0,9.1,3.2,5.5
2045,KCNH5,20.7,30.8,59.0,30.7,27.8
2046,ARHGAP25,88.8,63.6,86.7,22.6,98.5
2047,ZNF843,175.4,224.1,206.4,170.2,41.8
2048,SPATA6L,34.7,4.2,5.1,1.3,5.1
2049,NEK11,153.4,240.5,177.2,130.2,67.4
2050,RPL13AP17,35.6,34.4,102.0,47.0,34.3
2051,,134.0,74.4,100.8,90.4,51.7
2052,LOC101928751,30.2,13.0,63.7,20.7,42.7
2053,STAT5B,41.0,66.3,149.4,79.0,68.7
2054,STAT5B,57.1,110.8,215.3,8.6,192.6
2055,TMEM182,61.3,136.7,174.4,117.5,161.8
2056,PPM1F,17.7,61.3,34.6,7.7,81.0
2057,VASH2,103.5,113.8,70.3,77.4,62.3
2058,C6orf123,6.0,12.6,10.0,13.8,60.7
2059,STPG2,43.0,57.6,124.6,87.3,84.9
2060,PTGFR,2503.2,959.6,963.4,2261.3,5012.4
2061,CACNB2,71.3,64.0,120.7,4.6,41.0
2062,MPP4,6.2,4.9,2.6,13.0,3.6
2063,APLF,2.4,99.9,79.4,24.3,50.5
2064,FGF7,8.1,1.9,26.8,31.8,12.2
2065,FGF7,48.6,26.6,4.0,3.0,20.3
2066,MIER1,219.3,124.6,202.5,199.8,307.3
2067,CTDSPL2,690.7,606.3,733.9,657.2,466.6
2068,UVSSA,68.0,30.3,30.3,123.3,73.3
2069,SLC10A7,55.5,48.1,70.3,51.8,59.8
2070,KLHL3,7.9,19.6,74.2,12.4,6.2
2071,CCDC181,10.9,0.7,0.7,25.1,3.3
2072,CCDC181,41.9,70.5,38.9,23.4,11.8
2073,PARD3B,30.5,77.6,44.5,27.2,23.0
2074,ATP6V0A2,49.3,49.8,51.6,107.1,66.7
2075,SLC11A1,5.2,5.9,6.2,9.5,9.2
2076,,65.6,22.8,84.2,17.7,16.5
2077,ENTPD3,13.9,64.7,58.5,3.2,11.1
2078,CD96,4.5,4.2,1.8,1.8,3.2
2079,GPR125,68.7,75.3,71.0,113.5,57.4
2080,ST6GAL2,33.2,5.6,68.0,24.8,0.8
2081,LINC01126,91.6,108.2,63.6,41.8,80.5
2082,PAXBP1,275.9,274.5,235.8,280.6,170.2
2083,MOCS1,59.0,53.2,5.2,82.7,9.1
2084,,52.7,65.0,131.2,7.6,58.5
2085,PER3,18.2,26.2,51.7,9.5,32.7
2086,PER3,92.9,44.8,96.8,114.7,41.3
2087,LOC101928787,34.7,49.5,91.6,200.8,85.9
2088,FAM9A,45.2,44.4,19.0,4.6,5.2
2089,,42.5,13.2,64.7,30.4,41.0
2090,FGD6,4.3,13.0,20.9,15.7,23.5
2091,FGD6,104.9,65.2,26.6,107.0,83.4
2092,OTUD7B,93.0,24.1,56.7,67.5,98.7
2093,BCL2L2,158.8,67.5,43.5,88.4,117.4
2094,LOC101929373 /// SLC9B1,17.0,52.3,66.5,27.4,0.9
2095,LOC101929373 /// SLC9B1,2.3,2.0,5.4,21.5,37.7
2096,ARL17A /// ARL17B,54.7,49.4,11.4,10.9,51.3
2097,CCSAP,89.8,86.6,71.5,95.8,102.0
2098,ATF2,3.9,4.4,4.1,51.1,6.9
2099,M1AP,4.7,7.4,71.6,19.2,3.5
2100,TDH,123.8,49.6,80.2,61.1,96.9
2101,FCHO2,98.5,32.2,86.4,61.3,50.1
2102,QKI,230.5,248.8,232.8,211.5,206.7
2103,MLLT6,176.7,132.0,23.6,5.9,22.6
2104,,42.8,85.2,12.2,16.5,39.5
2105,,18.0,66.1,74.3,90.3,46.7
2106,TMEM74,22.3,79.1,82.0,6.1,50.8
2107,ARHGAP8 /// PRR5-ARHGAP8,11.7,86.6,26.0,7.3,64.4
2108,,18.7,44.0,48.6,50.9,10.8
2109,KIF26B,11.0,29.0,13.4,12.0,14.0
2110,PGPEP1,40.7,74.6,94.3,64.1,52.7
2111,ZNF396,119.2,125.2,59.0,174.6,113.1
2112,NAMPT,1475.6,1372.6,1528.5,1854.3,2182.4
2113,CALN1,72.9,45.9,50.2,68.5,102.6
2114,LIG3,43.7,30.0,40.9,39.4,58.0
2115,ST3GAL3,25.2,38.9,61.3,48.2,60.5
2116,STX19,667.5,692.3,681.7,507.7,337.7
2117,,10.5,13.5,19.3,4.3,8.3
2118,PBLD,36.9,82.9,54.1,97.6,94.9
2119,,57.4,51.1,11.7,82.8,54.9
2120,PRKAA1,21.5,13.4,3.5,45.3,53.2
2121,IGHV7-81 /// IGHV7-81,28.2,27.5,35.8,41.5,40.7
2122,LOC100132686,24.9,5.3,9.5,62.5,3.0
2123,ST3GAL3,58.9,154.6,327.4,58.9,118.4
2124,TERF2,20.9,74.5,87.5,120.8,147.7
2125,TERF2,179.8,129.6,169.2,146.7,142.6
2126,,4.6,4.4,14.9,8.9,13.5
2127,,76.7,69.3,43.0,88.9,80.6
2128,MTUS2-AS1,58.1,112.1,18.5,83.4,73.2
2129,TAT,14.8,33.4,4.8,44.4,56.0
2130,FHL5,41.4,7.0,95.5,44.6,32.6
2131,ZNF277,31.3,32.2,48.7,44.1,7.2
2132,ZNF277,551.8,497.9,542.4,900.2,593.0
2133,,44.8,48.1,13.7,79.1,34.9
2134,FBXO36,1.2,14.7,3.5,5.8,1.8
2135,LINC00421,16.7,82.0,22.0,15.4,7.1
2136,C21orf58,4.2,3.5,3.6,12.6,2.9
2137,C21orf58,97.9,60.4,106.1,36.1,67.0
2138,GOSR1,55.2,17.4,2.3,1.9,44.6
2139,RMND1,722.2,803.0,685.7,889.3,602.4
2140,RPRD1A,666.9,552.5,778.2,515.4,491.0
2141,SLC44A4,157.9,338.5,176.2,317.5,324.7
2142,,2.9,7.5,6.5,6.1,12.6
2143,RP11-498C9.17,30.2,103.6,104.7,54.9,32.6
2144,LOC100287210,46.1,78.5,53.4,49.4,21.5
2145,LOC439951,57.1,9.6,78.9,50.1,3.6
2146,DTWD1,60.1,33.3,104.3,72.5,20.3
2147,OR8B8,74.8,12.1,20.3,37.3,67.3
2148,CLEC7A,3.2,7.7,16.3,11.5,18.8
2149,CLEC7A,3.5,6.7,17.1,3.9,2.4
2150,HRH3,7.6,177.2,38.9,130.5,29.7
2151,LOC101060604 /// SLC7A5P1 /// SLC7A5P2,166.7,89.6,83.6,211.3,91.4
2152,UBE2W,41.5,26.9,30.0,23.6,29.8
2153,RGR,33.3,79.4,42.1,27.5,83.8
2154,AKR1E2,14.9,9.7,8.1,9.2,8.0
2155,LOC101927122,16.1,35.6,1.6,6.3,9.0
2156,LOC101927122,225.3,245.2,297.9,172.4,205.3
2157,CCDC148-AS1,12.8,8.9,4.5,6.4,11.8
2158,C1orf43,927.1,573.6,508.3,725.1,1641.2
2159,C1orf43,11296.3,12693.8,13972.9,14175.9,14370.7
2160,MANEA,284.6,232.7,381.3,518.0,125.0
2161,C1S,1.1,7.2,5.7,31.9,2.9
2162,KCNIP2,3.0,6.6,14.7,2.7,2.1
2163,C21orf88,50.8,61.6,58.6,23.6,32.9
2164,RHOJ,4.0,1.6,42.8,2.0,5.2
2165,RHOJ,8.8,12.4,20.4,49.1,67.6
2166,IQCF3,22.4,4.9,34.7,56.4,10.7
2167,PGC,49.9,19.2,21.7,181.6,459.2
2168,,40.5,59.0,45.6,6.2,21.8
2169,PTH2,180.9,272.4,343.4,239.0,220.2
2170,GNG12,394.0,509.1,293.6,370.3,345.1
2171,C8orf59,625.5,933.9,931.2,526.2,702.1
2172,C8orf59,764.0,1012.7,1016.0,593.0,805.8
2173,LOC554207,49.0,20.1,8.1,4.3,2.2
2174,RP1L1,7.4,3.4,12.0,8.7,14.8
2175,SCN1A,36.6,4.2,10.0,2.5,9.0
2176,RAPGEF6,188.0,216.6,231.9,160.7,206.5
2177,WNK3,94.3,113.1,114.8,85.8,116.4
2178,CPEB3,199.9,188.0,155.9,138.3,165.5
2179,OTOF,11.6,10.3,15.1,5.7,4.9
2180,TRPM3,59.1,6.5,24.4,16.9,5.8
2181,COL25A1,2.0,1.7,29.0,1.3,22.1
2182,PPIP5K1,218.6,288.8,217.9,181.0,183.1
2183,EVC2,5.2,16.2,13.5,6.0,29.5
2184,MYO3B,50.4,43.6,9.4,11.3,6.7
2185,ZAK,103.2,93.5,3.4,18.2,122.6
2186,,72.3,100.5,82.0,44.3,10.7
2187,MAGI1,52.7,59.2,48.4,15.8,20.9
2188,,3.7,36.9,39.7,31.8,20.1
2189,LINC00598,15.0,14.1,56.4,22.1,12.5
2190,ABCC13,9.3,2.3,36.5,6.4,10.5
2191,ASXL2,111.7,149.3,56.1,82.2,119.4
2192,GRID1,82.0,131.0,253.9,85.6,138.7
2193,GRID1,98.6,25.4,14.8,11.5,18.6
2194,ANO1,76.0,105.7,20.0,11.7,92.3
2195,WFS1,131.7,198.3,202.4,181.4,168.8
2196,TERT,104.3,55.6,26.2,75.5,5.3
2197,RSPH10B /// RSPH10B2,309.0,412.5,547.1,606.5,1146.6
2198,GALNTL6,3.4,8.2,88.9,88.5,17.9
2199,EPT1,2529.9,1877.5,1821.4,1928.3,2111.5
2200,KLHL6,10.0,5.3,7.9,63.6,6.7
2201,SLC4A5,32.4,71.1,181.7,131.7,58.1
2202,CKAP5,2681.4,2472.7,2053.7,2427.0,2769.5
2203,ARMC8,429.0,310.5,345.8,387.7,402.3
2204,ARMC8,362.6,283.0,275.3,397.5,310.2
2205,PPARGC1B,21.2,16.9,44.6,17.8,7.7
2206,ALS2,45.1,35.4,58.6,62.7,70.7
2207,CDKL1,46.2,21.2,12.0,41.2,5.3
2208,FBF1,331.5,462.8,429.2,439.7,323.4
2209,SEC16B,105.5,90.4,13.0,94.3,99.9
2210,TRPV3,29.3,21.0,9.8,18.1,26.6
2211,STRIP2,69.8,66.3,48.3,33.6,99.7
2212,ERC1,181.0,168.5,174.1,92.3,91.3
2213,VWA3B,66.3,72.9,45.8,44.3,24.6
2214,ERVW-1,43.4,36.1,38.2,9.9,21.1
2215,MED12L,61.5,89.8,53.0,73.3,85.7
2216,DIP2A,236.9,128.5,158.0,267.2,298.1
2217,,85.4,135.4,112.2,64.3,38.8
2218,KCNH5,5.2,7.5,93.2,47.1,8.8
2219,FOXJ2,65.2,35.4,3.3,63.7,48.7
2220,ECE2,104.9,170.8,161.7,158.2,165.8
2221,TTF2,61.4,9.7,57.6,51.0,60.5
2222,CARD14,147.6,110.1,157.9,131.2,41.2
2223,CARD14,17.6,12.0,22.1,59.4,22.5
2224,PAK6,11.0,7.9,86.9,25.9,62.2
2225,,210.2,281.9,270.6,167.2,165.4
2226,MCF2,12.8,51.9,10.5,4.0,17.3
2227,WDR19,44.2,30.0,56.0,28.3,10.3
2228,MAK,51.6,12.2,49.8,15.7,7.4
2229,KCNH7,47.0,6.5,13.7,23.9,7.7
2230,POLK,1.5,7.4,2.1,4.7,2.1
2231,HIF3A,25.6,28.9,49.2,3.2,18.5
2232,STAB1,83.1,77.3,69.6,82.6,2.9
2233,STAB1,42.2,10.9,84.1,16.8,58.1
2234,ACOT11,128.4,82.1,66.2,64.5,25.6
2235,PP2672,33.1,12.9,5.3,9.9,6.3
2236,ABCB9,61.6,40.6,72.7,46.8,4.8
2237,PTK7,82.7,47.6,74.0,76.3,99.6
2238,ZNF26,361.2,321.3,294.7,290.2,313.9
2239,ADAM9,1185.4,1566.0,1542.9,1575.3,1724.8
2240,GCLC,101.7,66.1,100.5,16.7,98.6
2241,TPH2,17.0,12.7,5.6,13.0,26.8
2242,SLC30A5,891.1,789.3,776.2,1221.4,1012.5
2243,ITGA9,10.6,34.7,7.4,85.1,29.8
2244,ITGA9,38.5,8.4,15.4,15.7,74.6
2245,ZNF317,227.5,283.6,235.3,258.8,270.9
2246,AQP10,19.0,31.2,12.8,47.6,44.6
2247,RAP1A,5.0,29.9,38.4,53.0,14.2
2248,RAP1A,4.7,8.9,4.8,10.3,5.9
2249,UNC5C,3.1,40.4,1.9,3.4,3.3
2250,UNC5C,11.1,7.5,9.6,4.1,3.6
2251,MEGF10,11.0,14.1,11.2,31.6,8.0
2252,KB-1568E2.1,4.6,2.6,5.2,6.6,5.6
2253,SLC38A4,36.2,14.1,7.2,40.5,4.0
2254,CDC20B,4.7,1.3,5.5,14.3,6.0
2255,PDXDC1,34.1,110.9,87.2,59.1,69.8
2256,TFAP2E,118.9,209.4,212.6,114.4,167.3
2257,ITGB2,16.2,5.4,5.9,8.2,7.2
2258,PPHLN1,146.8,124.5,165.6,146.3,107.1
2259,PPHLN1,307.8,331.5,279.1,232.8,487.1
2260,FOXP2,7.1,35.0,37.0,7.1,6.8
2261,LRP1,61.2,52.9,33.5,39.2,40.8
2262,ETS1,7.8,2.4,21.3,40.3,48.8
2263,SCML4,2.6,41.9,3.6,8.8,14.1
2264,DDX53,3.2,20.6,33.9,31.7,21.8
2265,ENTPD4,135.0,129.2,94.3,220.2,248.9
2266,PIGQ,58.0,73.3,29.5,238.8,227.0
2267,DNAJC11,1197.0,1018.8,807.3,914.6,1195.3
2268,LINC00663,213.2,229.5,307.2,224.0,55.1
2269,C11orf58,9.5,31.4,25.2,23.8,14.6
2270,C11orf58,13.2,17.3,4.5,9.4,0.8
2271,NSAP11,10.5,4.9,8.8,42.2,8.1
2272,LOC285902 /// ZNF273 /// ZNF479,5.2,59.8,54.1,11.1,68.8
2273,LOC285902 /// ZNF273 /// ZNF479,62.0,85.8,121.3,106.3,112.8
2274,BAGE,105.5,82.3,136.5,21.2,18.1
2275,CAMTA1,173.5,355.6,392.5,279.3,208.0
2276,ABCB5,54.2,7.5,52.5,16.3,8.4
2277,BCL2L11,501.5,467.6,466.3,512.8,532.5
2278,,70.5,70.9,46.0,59.2,56.7
2279,TTL,183.1,198.3,167.6,140.6,101.4
2280,GRIK2,26.2,6.9,2.5,4.3,26.5
2281,OR4D2,14.4,81.4,24.0,55.5,61.8
2282,DBF4B,9.6,17.4,23.8,41.7,7.1
2283,FAM159A,11.4,8.3,13.6,55.4,24.9
2284,ADAMTS4,130.2,181.6,174.8,180.4,96.7
2285,POF1B,2.3,15.3,42.9,0.7,8.6
2286,POF1B,103.3,104.9,81.8,162.0,85.9
2287,LARP4,741.0,796.7,794.3,740.0,1025.6
2288,B4GALNT1,86.4,75.2,96.3,61.6,94.6
2289,UBA1,143.1,94.8,158.1,64.2,61.9
2290,SNX25,173.9,178.4,131.0,156.2,197.3
2291,NOP9,225.6,294.2,193.6,282.8,195.9
2292,CARF,12.2,7.1,64.8,57.1,7.5
2293,BD495725,81.7,102.7,160.2,88.3,126.6
2294,C21orf67,146.6,122.5,155.9,198.2,92.4
2295,PIGK,4.0,12.3,11.9,19.1,12.0
2296,AKAP12,19.0,17.7,38.3,25.9,56.2
2297,CXorf67,13.9,8.2,18.5,14.9,10.1
2298,MYO1D,36.5,7.5,28.1,9.1,6.9
2299,DUSP16,152.5,157.9,140.3,266.2,275.0
2300,LOC645261,25.4,62.0,34.0,13.1,0.9
2301,SOHLH2,42.8,40.8,7.6,30.4,35.8
2302,CDH19,49.1,40.1,51.4,20.9,31.8
2303,DUOXA1,16.9,16.9,7.3,40.9,7.0
2304,UBE3C,37.5,56.3,38.9,6.8,7.8
2305,FGD3,103.8,78.1,84.0,79.9,97.9
2306,BAGE2 /// BAGE4,43.7,73.5,48.0,50.2,111.3
2307,BAGE2 /// BAGE3 /// BAGE5 /// KMT2C,105.3,15.2,71.9,154.1,80.2
2308,,11.9,48.1,48.5,83.6,39.9
2309,CCNL1,1334.8,1227.6,982.8,934.5,1532.7
2310,FBXL21,3.3,1.7,1.5,2.0,0.7
2311,FBXL21,27.7,37.9,40.9,3.2,6.2
2312,,5.0,9.2,10.9,11.6,7.8
2313,ALOX15B,7.3,38.2,24.8,2.0,16.0
2314,TAS1R1,64.3,17.0,19.8,11.0,3.6
2315,ASAH1,3710.0,4754.3,5777.4,5442.0,5443.1
2316,KLF7,54.0,75.9,84.4,102.0,144.3
2317,AP1S3,80.8,90.5,112.4,28.2,65.4
2318,SSH2,66.2,31.1,23.6,21.7,45.4
2319,SSH2,12.8,41.1,41.0,10.6,61.2
2320,OTUD5,53.0,40.0,98.8,22.5,141.4
2321,SYNCRIP,1047.6,1031.5,875.8,783.9,929.4
2322,,29.9,14.2,60.2,20.3,6.3
2323,TSTD2,10.2,8.4,33.0,6.6,41.0
2324,IL31RA,3.0,35.3,8.3,28.1,3.1
2325,SLC39A14,46.6,23.4,4.3,30.6,68.4
2326,SLC39A14,296.1,249.7,267.5,459.0,307.2
2327,AFF4,34.1,33.3,2.4,38.9,3.7
2328,AFF4,143.7,172.4,242.6,137.7,192.2
2329,EARS2,133.2,129.4,137.3,98.5,94.0
2330,GTF3C3,89.8,129.5,133.7,89.5,126.7
2331,UBA6,55.8,13.2,9.1,26.7,57.0
2332,CCDC172,42.1,15.8,67.0,33.5,6.9
2333,PPP1R12B,3.9,14.9,4.1,3.4,39.9
2334,CA8,6.0,15.3,19.2,2.7,29.3
2335,TRAPPC10,226.2,148.8,108.2,106.2,175.1
2336,GPR114,58.3,84.7,101.9,44.7,80.0
2337,AP5M1,174.5,96.8,81.7,177.2,162.5
2338,NAA16,312.3,380.5,308.7,255.2,388.9
2339,RALGPS1,224.3,285.4,276.0,179.6,227.0
2340,LITAF,2.1,1.9,7.3,2.6,4.3
2341,,46.4,6.8,60.2,3.6,35.7
2342,BRINP1,3.5,8.8,7.2,7.8,18.6
2343,SLC39A6,1781.3,2114.6,1946.8,2073.8,2452.0
2344,TXNL4A,584.0,792.6,697.9,298.1,472.1
2345,PPP1R1C,13.6,14.9,9.3,6.6,7.7
2346,CHD6,20.1,58.8,7.1,74.5,56.1
2347,IFIH1,204.3,116.7,111.3,206.3,148.3
2348,MCOLN2,219.3,197.0,209.9,236.5,243.2
2349,CELF1,815.6,608.9,503.3,610.1,554.0
2350,NRP2,58.2,100.8,99.5,46.2,44.3
2351,CLASP2,313.6,303.4,215.2,268.2,194.4
2352,PPM1F,246.0,381.2,152.0,201.1,83.3
2353,FMN2,32.6,30.8,18.9,1.6,33.5
2354,SORBS2,27.0,5.6,29.6,24.3,40.9
2355,TTLL3,51.7,48.9,73.8,96.7,83.1
2356,TTLL3,99.8,49.0,51.5,8.3,40.3
2357,IREB2,68.6,72.1,31.5,31.4,62.2
2358,C17orf82,22.3,149.9,209.3,242.9,179.7
2359,FBLIM1,13.0,29.8,7.3,34.2,70.7
2360,FBLIM1,73.1,71.5,77.1,29.3,6.7
2361,FAM153A /// FAM153B /// LOC100507387,5.1,41.7,59.2,7.4,5.0
2362,PRR5L,121.9,133.6,71.3,80.6,138.7
2363,ACTR3B,502.0,464.9,575.0,380.9,497.8
2364,,8.5,10.0,7.6,3.0,11.7
2365,,58.5,88.9,35.8,67.1,7.5
2366,PDZD3,7.8,68.9,10.0,7.0,32.7
2367,C19orf66,139.5,161.8,184.5,102.6,120.4
2368,BEST3,1.7,5.8,4.9,3.4,2.4
2369,CWC27,803.9,589.3,578.1,638.1,712.9
2370,CYP4B1,62.1,35.9,48.3,100.5,13.8
2371,,40.6,40.8,37.3,41.5,51.1
2372,IFNLR1,37.6,96.7,19.4,23.1,21.4
2373,SLC2A4RG,359.7,170.2,130.6,140.2,262.0
2374,RSRC1,2124.1,1622.1,1812.3,2098.6,2322.6
2375,NPSA,9.5,17.9,69.4,13.9,7.1
2376,TMCC2,53.1,9.6,9.8,20.3,12.5
2377,TYR,0.8,36.4,1.9,27.2,4.6
2378,TYR,26.4,29.6,57.4,26.0,33.4
2379,SLC25A41,70.1,62.9,45.7,57.6,45.9
2380,ZNF215,18.5,46.5,6.6,14.7,15.7
2381,PIAS2,0.6,27.4,57.7,39.7,1.5
2382,PIAS2,825.6,1119.5,1282.3,841.3,862.3
2383,FAM189B,32.0,50.0,12.2,13.0,8.1
2384,FOXP2,22.0,40.2,35.7,3.2,37.9
2385,GABRG3,9.9,3.3,5.1,7.7,11.5
2386,,49.0,6.2,33.8,24.2,13.3
2387,PTCH1,55.9,55.8,92.2,36.9,130.8
2388,DPY30 /// MEMO1,892.0,796.6,813.9,897.0,1046.1
2389,FYCO1,129.4,84.8,93.5,93.0,131.6
2390,SEPT6,152.0,123.5,167.9,145.9,97.0
2391,COL9A1,5.3,6.6,3.1,19.3,4.4
2392,RNH1,129.0,107.2,96.9,137.1,84.0
2393,QRFPR,4.2,3.2,2.6,5.2,34.5
2394,BPIFB6,23.3,15.6,17.1,15.7,14.1
2395,ANTXR2,13.6,55.0,17.6,102.7,11.2
2396,FAM9B,5.9,12.3,6.3,42.8,21.7
2397,SDS,8.9,12.2,10.0,34.5,27.2
2398,TGFB3,6.8,4.3,6.6,7.3,6.3
2399,AFAP1L1,18.7,45.4,59.7,62.6,80.7
2400,CLCC1,1331.7,1093.8,954.9,1670.9,1931.9
2401,CADM2,32.1,24.4,4.5,6.7,27.9
2402,KLK2,30.8,14.5,57.4,67.2,9.1
2403,POFUT2,13.6,34.1,24.4,18.6,14.6
2404,,2.7,3.2,4.6,20.3,6.0
2405,NDUFA10,113.2,59.1,162.8,73.4,75.4
2406,ZACN,107.9,112.1,86.0,108.1,32.7
2407,SERPINB5,4.9,2.7,55.2,5.5,50.4
2408,SLC22A7,57.1,30.3,33.1,81.0,25.9
2409,BPIFA4P,82.6,61.5,54.9,4.2,75.9
2410,BBS9,75.5,66.0,93.7,137.3,89.5
2411,TNK2,11.2,2.8,6.5,65.3,15.1
2412,USP25,29.6,17.6,1.6,38.8,63.3
2413,USP25,154.9,150.1,162.1,194.6,163.9
2414,UGGT2,10.5,40.3,31.5,32.4,6.3
2415,UGGT2,250.7,275.2,324.9,289.8,214.4
2416,ZCCHC7,364.9,392.2,486.6,335.3,296.0
2417,CFI,34.6,7.9,2.5,2.9,23.8
2418,TAPBP,160.5,239.2,158.4,250.2,183.8
