k-means,onestep,BASC_A,shmulevich,val
0.0,0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.0,0.01898989898989899
0.0,0.0,0.0,0.0,0.02797979797979798
0.0,0.0,0.0,0.0,0.03696969696969697
0.0,0.0,0.0,0.0,0.045959595959595964
0.0,0.0,0.0,0.0,0.054949494949494956
0.0,0.0,0.0,0.0,0.06393939393939393
0.0,0.0,0.0,0.0,0.07292929292929293
0.0,0.0,0.0,0.0010036812432090733,0.08191919191919192
0.0,0.0,0.0,0.0026131050920365374,0.09090909090909091
0.0,0.0,0.0,0.005897478249874158,0.0998989898989899
0.0,0.0,0.001,0.012849438230303784,0.1088888888888889
0.0,0.0,0.001,0.01968139101999524,0.11787878787878787
0.0,0.0,0.001,0.03052346676388088,0.12686868686868688
0.0,0.0,0.002,0.039847137220982716,0.13585858585858587
0.0,0.0,0.0023984901965893937,0.047087611060913984,0.14484848484848487
0.00036284575433778054,0.0,0.003,0.05813565108048435,0.15383838383838386
0.001,0.0,0.003,0.06903865026591055,0.16282828282828285
0.001,0.0,0.005894755313368258,0.07807242662962274,0.17181818181818184
0.001,0.0,0.008598172295967203,0.08725749796356548,0.18080808080808083
0.001,0.004690578424412282,0.011694278462434968,0.09920715693467405,0.18979797979797983
0.001645342766876133,0.005999999999999998,0.018594040036968316,0.11427590232108768,0.19878787878787882
0.002,0.009244765126380347,0.02249380161150168,0.1292381728306102,0.2077777777777778
0.0031166831437829477,0.016496497710186485,0.029584980767415094,0.13487888445893007,0.2167676767676768
0.004014840974399141,0.023647706208166815,0.037391099680757836,0.14625657718813243,0.22575757575757577
0.005471340376906809,0.032835552836846416,0.04418156356027131,0.15632670280843408,0.23474747474747476
0.00692783977941448,0.04405845948586239,0.05179046387951344,0.16905521307256666,0.24373737373737375
0.008,0.0543320319859323,0.06098029195778253,0.17869519335887538,0.25272727272727274
0.010522515753289456,0.06377863433914568,0.0697847421174036,0.1955426006048911,0.26171717171717174
0.01578402792162493,0.0758791769860721,0.07638951017764688,0.2051919725033828,0.27070707070707073
0.022261512168335485,0.087152749486142,0.08697298069256175,0.21264761279775996,0.2796969696969697
0.027262020751716985,0.09546842370837653,0.09876106031740874,0.2247920047400273,0.2886868686868687
0.033333672388920994,0.11327117232382733,0.11695994766523106,0.23941063076761593,0.2976767676767677
0.04074001358180903,0.13507083896295474,0.13197059643789527,0.2535510714416411,0.3066666666666667
0.04831933999790335,0.16117138160988115,0.14906678185497385,0.26434188538120224,0.3156565656565657
0.05529067521586812,0.17996096169305817,0.16415970901521967,0.2760598132326857,0.3246464646464647
0.06792833804491183,0.20024385025499764,0.1796650334015518,0.28902419531810736,0.3336363636363637
0.08723999810498287,0.2184309078284958,0.19695438440434285,0.2983710615847955,0.34262626262626267
0.10786999131407825,0.24502398846010381,0.22193324536023584,0.30839774734564573,0.35161616161616166
0.13224664024028387,0.26469120454119127,0.24435215909998745,0.32331454886995203,0.36060606060606065
0.1590577968759154,0.28887200946804265,0.2634475497655105,0.34105916248228574,0.36959595959595964
0.1828546314384134,0.31015808726140615,0.28755350995308704,0.3596035221879087,0.37858585858585864
0.21118673680565334,0.33430685846094277,0.30743054298040245,0.37484832616292585,0.38757575757575763
0.24738993319680766,0.36431707083309445,0.33133276806021306,0.38635706795397046,0.3965656565656566
0.27792418683478665,0.38112069719772673,0.3530198937586487,0.399088338685879,0.4055555555555556
0.3250398528118064,0.40832957612638804,0.38190264854807404,0.41180488630347445,0.4145454545454546
0.3707348348870365,0.42405981897452116,0.4130086087356506,0.4240287954782265,0.4235353535353536
0.41545847142641795,0.4504385199638014,0.4448986747902967,0.43541154968452594,0.4325252525252526
0.4533290125954141,0.46983537133734343,0.47521321784558257,0.44747661382773046,0.4415151515151515
0.49124710714981756,0.4941446485356293,0.5072778531977221,0.46014631036769843,0.4505050505050505
0.5337471123087598,0.5227470266680062,0.5378098798890496,0.4790993805569831,0.4594949494949495
0.5818694204210808,0.5541656993967116,0.5736950981837521,0.49100348995126425,0.4684848484848485
0.6280920243168727,0.5755834572540343,0.6024154427008485,0.499974773206126,0.4774747474747475
0.6773596803550122,0.5988898339754999,0.6255229923915359,0.5126136432835797,0.4864646464646465
0.7254241606377652,0.6277004834808598,0.6507170319794147,0.5283000939221488,0.4954545454545455
0.7669938041384649,0.6431315171255569,0.6725343566651449,0.5435065195148118,0.5044444444444445
0.7907195059650245,0.660350464049068,0.6921237074433912,0.5545828168210655,0.5134343434343435
0.8195864251430456,0.6813753302583534,0.7188933492812407,0.5693531954188163,0.5224242424242425
0.847644771873879,0.7016255589761992,0.7404916008278186,0.5808458338616599,0.5314141414141414
0.866915520683844,0.7198376456973851,0.7667098792154157,0.5951159433636393,0.5404040404040404
0.8947322919701293,0.7386684311924446,0.7954779315501541,0.6078759308406861,0.5493939393939394
0.9147691452733785,0.7624195619632577,0.8203121837703816,0.618190860436005,0.5583838383838384
0.9346181826969066,0.7887875874020096,0.8394423035070655,0.629631586324124,0.5673737373737374
0.9450915883609918,0.8165437742692132,0.8561254554477239,0.6391069324768233,0.5763636363636364
0.9585726219711778,0.8330643676946041,0.868945959139676,0.6439306038631867,0.5853535353535354
0.970925265908855,0.8548968385551272,0.8823396808269325,0.6517513234898291,0.5943434343434344
0.977939079398607,0.8730027189773178,0.8987221174911909,0.6635069789732668,0.6033333333333334
0.9826443152822295,0.8885748931251454,0.9159266473505123,0.6774651106396485,0.6123232323232324
0.9862016293694739,0.9039264349839983,0.9333542241067634,0.685954797322771,0.6213131313131314
