Gene,Rule
hipB,(not hipA) or (not hipB) or ihfB
hipA,(not hipA) or (not hipB) or ihfB
ihfB,(not ihfB)
yeiL,ihfB or yeiL
tdcA,ihfB or tdcA
tdcD,ihfB or tdcA
tdcG,ihfB or tdcA
tdcE,ihfB or tdcA
tdcB,ihfB or tdcA
tdcF,ihfB or tdcA
tdcC,ihfB or tdcA
hemF,(not ihfB) 
ibpB,ihfB
htrE,ihfB
ecpD,ihfB
amiA,(not ihfB)
