k-means,onestep,BASC_A,shmulevich,val
0.0,0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.0,0.013939393939393939
0.0,0.0,0.0,0.0,0.01787878787878788
0.0,0.0,0.0,0.0,0.02181818181818182
0.0,0.0,0.0,0.0,0.025757575757575757
0.0,0.0,0.0,0.0008471527179186489,0.0296969696969697
0.0,0.0,0.0,0.0019058406275402444,0.03363636363636364
0.0,0.0,0.0,0.002,0.037575757575757575
0.0,0.0,0.0,0.0051160822339171765,0.04151515151515152
0.0,0.0,0.0,0.010245713069215094,0.045454545454545456
0.0,0.0,0.0,0.014265330394239651,0.0493939393939394
0.0,0.0,0.0,0.023394961229537558,0.05333333333333334
0.0,0.0,0.0,0.03080577659688872,0.057272727272727274
0.0,0.0,0.0,0.03884990395402272,0.06121212121212122
0.0,0.0,0.0,0.04912878294964309,0.06515151515151515
0.0,0.0,0.0,0.062076445397884435,0.06909090909090909
0.0,0.0,0.002190323940909905,0.07443447751380577,0.07303030303030303
0.0,0.001,0.005551991247609802,0.08396266870040013,0.07696969696969697
0.0,0.002501978139847552,0.006081082363165928,0.09593124205899206,0.0809090909090909
0.0,0.004274355111698654,0.009058182231112273,0.1117005352419358,0.08484848484848485
0.0,0.005797721153473528,0.01205292314858791,0.1286395417958813,0.08878787878787879
0.0,0.011321087195248405,0.016518572950507394,0.14557854834982684,0.09272727272727273
0.0,0.014533359711069838,0.018994740917475633,0.15998301335931506,0.09666666666666666
0.002,0.019367819278798153,0.023933163405795186,0.17555302636661052,0.1006060606060606
0.002791898760923105,0.0235647412822921,0.030859203927109807,0.1875844530080186,0.10454545454545454
0.003,0.03290185953643534,0.04060390719395128,0.20216728728280453,0.10848484848484849
0.003838197357238607,0.044503339232982254,0.053591525226946365,0.2107959881997216,0.11242424242424243
0.00772269331079272,0.056690267567181235,0.06193741528607316,0.2206914336479688,0.11636363636363636
0.01,0.06986184538905274,0.07626040521314623,0.22756067030979954,0.1203030303030303
0.014630581006847415,0.0875881708239214,0.08707295227643895,0.24081228803720642,0.12424242424242424
0.017,0.10228243414100055,0.09451570194630485,0.25277220550150264,0.1281818181818182
0.020953943848027377,0.12043070942095166,0.10674183226263892,0.2651034220488816,0.13212121212121214
0.02495418629237026,0.14278113654772026,0.12068264282928022,0.27761244161012266,0.13606060606060608
0.030001212221714348,0.15861627666201591,0.1358439509559023,0.28941372768591006,0.14
0.03614035045500374,0.177747840336505,0.1484307413766898,0.2983928167755595,0.14393939393939395
0.0463723283252669,0.19972317670144987,0.16153424094602867,0.3068623200525323,0.1478787878787879
0.06362721304934504,0.21523051168432986,0.18284771991029952,0.3146653454133169,0.15181818181818182
0.08011407564368646,0.23225449477281765,0.1994287683226819,0.3249768240839069,0.15575757575757576
0.10339186722157967,0.2490563386758981,0.23123079722092596,0.33583853735431324,0.15969696969696973
0.13308707349934068,0.27335016704953097,0.25270170610536974,0.34474033316042335,0.16363636363636366
0.16527202544025985,0.29703579779044964,0.2778295959348894,0.3595184433201177,0.1675757575757576
0.19159611561446827,0.32755656864566424,0.30143503460745263,0.37635867942873763,0.17151515151515154
0.2243373780442021,0.3527412888702495,0.32754905234184023,0.3842418698609302,0.17545454545454547
0.2528664439443281,0.3685162610286611,0.3483229220255062,0.3974637597012359,0.1793939393939394
0.29133304030932844,0.393943567716776,0.3713997525083942,0.4047677555110916,0.18333333333333335
0.333506918600369,0.41687369956121745,0.3977766727863016,0.41755735282226003,0.18727272727272729
0.38124023289338355,0.43907857359430436,0.4134794539954847,0.426786927136445,0.19121212121212122
0.437810984989579,0.46192906422092744,0.4440461887373387,0.4371843144541799,0.19515151515151516
0.47929712025089183,0.4849716735548705,0.4830319016178928,0.4460780611481201,0.1990909090909091
0.5256713618676043,0.5056300454741738,0.5132685500992759,0.4590118903777643,0.20303030303030306
0.5686631712865425,0.5274831312873574,0.5394155297559675,0.47041676055623344,0.206969696969697
0.6129216664124659,0.5513089582789253,0.5672776460377646,0.4827487449681931,0.21090909090909093
0.6554813448587828,0.5748178208248519,0.5926760176700833,0.49787129811173764,0.21484848484848487
0.6929484261124688,0.6011008085127109,0.6215161996715883,0.5103058961773078,0.2187878787878788
0.7247820432904906,0.6225138323120124,0.6464250820692544,0.5190600220256381,0.22272727272727275
0.7641714860686415,0.6390795870806951,0.6812208860332123,0.5233446445969956,0.22666666666666668
0.8001208497374522,0.6671390744900119,0.7064761414158861,0.5357633055206806,0.23060606060606062
0.8338932096020629,0.6856226469914394,0.72159780631112,0.5514838602736246,0.23454545454545456
0.8653687238811537,0.7063413533365384,0.7457380781076446,0.5673641789179485,0.2384848484848485
0.889429738750222,0.7261349517404053,0.7722085040662077,0.5732281977247878,0.24242424242424246
0.9113769144622157,0.7453236282446858,0.7958349377183837,0.5883497794479157,0.2463636363636364
0.9281873823420798,0.7726031195923816,0.8137710134788659,0.6067377835374643,0.2503030303030303
0.9477157209091772,0.798465518528293,0.8343673827640232,0.6193465449644475,0.25424242424242427
0.9585577711126039,0.8194196875983456,0.849328746734881,0.6287657721395683,0.2581818181818182
0.9678714827489334,0.8291291349578407,0.8681660577321839,0.6424779150847427,0.26212121212121214
0.9747050999269553,0.8435395094334583,0.8900214927048966,0.6520527002473587,0.2660606060606061
0.9812925078506467,0.8650883861267671,0.9029275040983601,0.6654067280725403,0.27
0.98436195574512,0.8871470265196052,0.9128769276776092,0.6798296373734914,0.273939393939394
0.9892418715194573,0.911547240856016,0.9297443030419307,0.6914449102407922,0.2778787878787879
0.9926672343560445,0.9274265720044247,0.9387829390710728,0.7038413261381107,0.28181818181818186
0.9970000000000008,0.9407281859377389,0.9505611019855013,0.7202517363364808,0.28575757575757577
0.9990000000000008,0.95540450355593,0.9587347507286437,0.7317644380235522,0.28969696969696973
1.0,0.9690382659773017,0.9626889504645363,0.7449093972759183,0.29363636363636364
1.0,0.9736083641026264,0.9704647253006432,0.7555413751496849,0.2975757575757576
1.0,0.9771784622279509,0.9805940373567229,0.7704492772271316,0.3015151515151515
1.0,0.9840799741576423,0.9868878874180541,0.7815530639143041,0.3054545454545455
1.0,0.9902124389857337,0.9910000000000007,0.7900419829031563,0.30939393939393944
1.0,0.9932591710692834,0.9918649872860004,0.7943809620027977,0.31333333333333335
1.0,0.9971529515764169,0.9957070744399465,0.8134450713232471,0.3172727272727273
1.0,0.9980000000000007,0.9978420871539467,0.8252806963590014,0.3212121212121212
1.0,0.9990000000000007,0.9983306370879199,0.8384824431535373,0.3251515151515152
1.0,0.9990000000000007,0.9990000000000007,0.8514594707932799,0.3290909090909091
1.0,1.0,0.9993077369558663,0.8606612175878158,0.33303030303030307
1.0,1.0,1.0,0.8729473353576441,0.336969696969697
1.0,1.0,1.0,0.8858349757802477,0.34090909090909094
1.0,1.0,1.0,0.8975062258517562,0.34484848484848485
1.0,1.0,1.0,0.9096096073699476,0.3487878787878788
1.0,1.0,1.0,0.9205956130688957,0.3527272727272728
1.0,1.0,1.0,0.9326189905981337,0.3566666666666667
1.0,1.0,1.0,0.9468771197658584,0.36060606060606065
1.0,1.0,1.0,0.956685000286035,0.36454545454545456
1.0,1.0,1.0,0.9660488165083836,0.3684848484848485
1.0,1.0,1.0,0.9746240068399804,0.37242424242424244
1.0,1.0,1.0,0.983058443823096,0.3763636363636364
1.0,1.0,1.0,0.9882815066969634,0.3803030303030303
1.0,1.0,1.0,0.9923871937515875,0.3842424242424243
1.0,1.0,1.0,0.9953755049869684,0.3881818181818182
1.0,1.0,1.0,0.9972464404031062,0.39212121212121215
1.0,1.0,1.0,0.9986102566254548,0.3960606060606061
1.0,1.0,1.0,1.0,0.4
