basc,kmeans,onestep,shmulevich
25.096296,0.000768,0.016107,0.000246
12.597563,0.000508,0.008079,0.000144
6.316827,0.000503,0.004311,0.000175
3.221077,0.000608,0.002191,0.000229
1.889070,0.000769,0.001302,0.000239
1.314757,0.000726,0.000863,0.000279
0.962492,0.000851,0.005882,0.000302
