FKH2,ACE2,SWI5,MCM1,CLN3,MBP1,SWI4,SWI6,NDD1
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
,0.0,0.0,0.0,,1.0,,0.0,0.0
,0.0,1.0,,0.0,,,0.0,0.0
,0.0,0.0,,1.0,0.0,1.0,0.0,0.0
,0.0,0.0,,,0.0,1.0,,
,0.0,0.0,,,,,,1.0
,0.0,,,0.0,,,,
,,1.0,,0.0,,,,1.0
1.0,1.0,1.0,,,,,1.0,1.0
,1.0,1.0,,,,0.0,1.0,1.0
,1.0,1.0,,0.0,0.0,,,1.0
,1.0,1.0,,1.0,0.0,,1.0,1.0
1.0,1.0,1.0,1.0,1.0,,,,
,,,,,,,,
