Gene,Rule
FKH2,FKH2
ACE2,FKH2 and YOR372C and MCM1
SWI5,FKH2 and YOR372C and MCM1
MCM1,MCM1
CLN3,ACE2 and SWI5 and MCM1
MBP1,CLN3
SWI4,MBP1 and CLN3 and MCM1 and SWI6
SWI6,SWI6
YOR372C,SWI6 and SWI4 and MBP1
