,gene,binary,count,dataset,binarization,impu
382,umuD,1,7,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
383,uvrA,0,43,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
384,uvrA,1,6,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
385,uvrD,0,37,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
386,uvrD,1,12,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
387,lexA,0,44,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
388,lexA,1,5,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
389,polB,0,29,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
390,polB,1,20,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
391,recA,0,43,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
392,recA,1,6,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
393,umuD,0,42,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
394,umuD,1,7,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
395,uvrA,0,43,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
396,uvrA,1,6,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
397,uvrD,0,37,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
398,uvrD,1,12,ecoli_data,"{BASC A, Onestep}",bin_Prob_and_MissForest
399,lexA,?,6,ecoli_data,"{K-Means, Onestep}",og_bin
400,lexA,0,38,ecoli_data,"{K-Means, Onestep}",og_bin
401,lexA,1,5,ecoli_data,"{K-Means, Onestep}",og_bin
402,polB,?,7,ecoli_data,"{K-Means, Onestep}",og_bin
403,polB,0,22,ecoli_data,"{K-Means, Onestep}",og_bin
404,polB,1,20,ecoli_data,"{K-Means, Onestep}",og_bin
405,recA,?,4,ecoli_data,"{K-Means, Onestep}",og_bin
406,recA,0,39,ecoli_data,"{K-Means, Onestep}",og_bin
407,recA,1,6,ecoli_data,"{K-Means, Onestep}",og_bin
408,umuD,?,3,ecoli_data,"{K-Means, Onestep}",og_bin
409,umuD,0,38,ecoli_data,"{K-Means, Onestep}",og_bin
410,umuD,1,8,ecoli_data,"{K-Means, Onestep}",og_bin
411,uvrA,?,2,ecoli_data,"{K-Means, Onestep}",og_bin
412,uvrA,0,41,ecoli_data,"{K-Means, Onestep}",og_bin
413,uvrA,1,6,ecoli_data,"{K-Means, Onestep}",og_bin
414,uvrD,?,13,ecoli_data,"{K-Means, Onestep}",og_bin
415,uvrD,0,23,ecoli_data,"{K-Means, Onestep}",og_bin
416,uvrD,1,13,ecoli_data,"{K-Means, Onestep}",og_bin
417,lexA,0,44,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
418,lexA,1,5,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
419,polB,0,29,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
420,polB,1,20,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
421,recA,0,43,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
422,recA,1,6,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
423,umuD,0,41,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
424,umuD,1,8,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
425,uvrA,0,43,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
426,uvrA,1,6,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
427,uvrD,0,36,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
428,uvrD,1,13,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest
429,lexA,0,44,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
430,lexA,1,5,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
431,polB,0,29,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
432,polB,1,20,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
433,recA,0,43,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
434,recA,1,6,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
435,umuD,0,41,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
436,umuD,1,8,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
437,uvrA,0,43,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
438,uvrA,1,6,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
439,uvrD,0,36,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
440,uvrD,1,13,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest
441,lexA,?,5,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
442,lexA,0,38,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
443,lexA,1,6,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
444,polB,?,6,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
445,polB,0,22,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
446,polB,1,21,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
447,recA,?,4,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
448,recA,0,39,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
449,recA,1,6,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
450,umuD,?,3,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
451,umuD,0,38,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
452,umuD,1,8,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
453,uvrA,?,2,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
454,uvrA,0,41,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
455,uvrA,1,6,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
456,uvrD,?,13,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
457,uvrD,0,23,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
458,uvrD,1,13,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin
459,lexA,0,43,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
460,lexA,1,6,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
461,polB,0,28,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
462,polB,1,21,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
463,recA,0,43,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
464,recA,1,6,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
465,umuD,0,41,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
466,umuD,1,8,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
467,uvrA,0,43,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
468,uvrA,1,6,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
469,uvrD,0,36,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
470,uvrD,1,13,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
471,lexA,0,43,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
472,lexA,1,6,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
473,polB,0,28,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
474,polB,1,21,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
475,recA,0,43,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
476,recA,1,6,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
477,umuD,0,41,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
478,umuD,1,8,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
479,uvrA,0,43,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
480,uvrA,1,6,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
481,uvrD,0,36,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
482,uvrD,1,13,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
483,ACE2,?,2,yeast_cell,{BASC A},og_bin
484,ACE2,0,7,yeast_cell,{BASC A},og_bin
485,ACE2,1,5,yeast_cell,{BASC A},og_bin
486,CLN3,?,7,yeast_cell,{BASC A},og_bin
487,CLN3,0,4,yeast_cell,{BASC A},og_bin
488,CLN3,1,3,yeast_cell,{BASC A},og_bin
489,FKH2,?,11,yeast_cell,{BASC A},og_bin
490,FKH2,0,1,yeast_cell,{BASC A},og_bin
491,FKH2,1,2,yeast_cell,{BASC A},og_bin
492,MBP1,?,10,yeast_cell,{BASC A},og_bin
493,MBP1,0,4,yeast_cell,{BASC A},og_bin
494,MCM1,?,13,yeast_cell,{BASC A},og_bin
495,MCM1,0,1,yeast_cell,{BASC A},og_bin
496,NDD1,?,8,yeast_cell,{BASC A},og_bin
497,NDD1,1,6,yeast_cell,{BASC A},og_bin
498,SWI4,?,11,yeast_cell,{BASC A},og_bin
499,SWI4,0,1,yeast_cell,{BASC A},og_bin
500,SWI4,1,2,yeast_cell,{BASC A},og_bin
501,SWI5,?,2,yeast_cell,{BASC A},og_bin
502,SWI5,0,5,yeast_cell,{BASC A},og_bin
503,SWI5,1,7,yeast_cell,{BASC A},og_bin
504,SWI6,?,9,yeast_cell,{BASC A},og_bin
505,SWI6,0,3,yeast_cell,{BASC A},og_bin
506,SWI6,1,2,yeast_cell,{BASC A},og_bin
507,ACE2,0,9,yeast_cell,{BASC A},bin_onlyMissForest
508,ACE2,1,5,yeast_cell,{BASC A},bin_onlyMissForest
509,CLN3,0,11,yeast_cell,{BASC A},bin_onlyMissForest
510,CLN3,1,3,yeast_cell,{BASC A},bin_onlyMissForest
511,FKH2,0,1,yeast_cell,{BASC A},bin_onlyMissForest
512,FKH2,1,13,yeast_cell,{BASC A},bin_onlyMissForest
513,MBP1,0,14,yeast_cell,{BASC A},bin_onlyMissForest
514,MCM1,0,14,yeast_cell,{BASC A},bin_onlyMissForest
515,NDD1,1,14,yeast_cell,{BASC A},bin_onlyMissForest
516,SWI4,0,1,yeast_cell,{BASC A},bin_onlyMissForest
517,SWI4,1,13,yeast_cell,{BASC A},bin_onlyMissForest
518,SWI5,0,5,yeast_cell,{BASC A},bin_onlyMissForest
519,SWI5,1,9,yeast_cell,{BASC A},bin_onlyMissForest
520,SWI6,0,12,yeast_cell,{BASC A},bin_onlyMissForest
521,SWI6,1,2,yeast_cell,{BASC A},bin_onlyMissForest
522,ACE2,0,9,yeast_cell,{BASC A},bin_Prob_and_MissForest
523,ACE2,1,5,yeast_cell,{BASC A},bin_Prob_and_MissForest
524,CLN3,0,11,yeast_cell,{BASC A},bin_Prob_and_MissForest
525,CLN3,1,3,yeast_cell,{BASC A},bin_Prob_and_MissForest
526,FKH2,0,12,yeast_cell,{BASC A},bin_Prob_and_MissForest
527,FKH2,1,2,yeast_cell,{BASC A},bin_Prob_and_MissForest
528,MBP1,0,14,yeast_cell,{BASC A},bin_Prob_and_MissForest
529,MCM1,0,14,yeast_cell,{BASC A},bin_Prob_and_MissForest
530,NDD1,0,8,yeast_cell,{BASC A},bin_Prob_and_MissForest
531,NDD1,1,6,yeast_cell,{BASC A},bin_Prob_and_MissForest
532,SWI4,0,12,yeast_cell,{BASC A},bin_Prob_and_MissForest
533,SWI4,1,2,yeast_cell,{BASC A},bin_Prob_and_MissForest
534,SWI5,0,7,yeast_cell,{BASC A},bin_Prob_and_MissForest
535,SWI5,1,7,yeast_cell,{BASC A},bin_Prob_and_MissForest
536,SWI6,0,12,yeast_cell,{BASC A},bin_Prob_and_MissForest
537,SWI6,1,2,yeast_cell,{BASC A},bin_Prob_and_MissForest
538,ACE2,?,1,yeast_cell,{K-Means},og_bin
539,ACE2,0,7,yeast_cell,{K-Means},og_bin
540,ACE2,1,6,yeast_cell,{K-Means},og_bin
541,CLN3,?,5,yeast_cell,{K-Means},og_bin
542,CLN3,0,5,yeast_cell,{K-Means},og_bin
543,CLN3,1,4,yeast_cell,{K-Means},og_bin
544,FKH2,?,7,yeast_cell,{K-Means},og_bin
545,FKH2,0,5,yeast_cell,{K-Means},og_bin
546,FKH2,1,2,yeast_cell,{K-Means},og_bin
547,MBP1,?,9,yeast_cell,{K-Means},og_bin
548,MBP1,0,3,yeast_cell,{K-Means},og_bin
549,MBP1,1,2,yeast_cell,{K-Means},og_bin
550,MCM1,?,8,yeast_cell,{K-Means},og_bin
551,MCM1,0,3,yeast_cell,{K-Means},og_bin
552,MCM1,1,3,yeast_cell,{K-Means},og_bin
553,NDD1,?,3,yeast_cell,{K-Means},og_bin
554,NDD1,0,5,yeast_cell,{K-Means},og_bin
555,NDD1,1,6,yeast_cell,{K-Means},og_bin
556,SWI4,?,10,yeast_cell,{K-Means},og_bin
557,SWI4,0,2,yeast_cell,{K-Means},og_bin
558,SWI4,1,2,yeast_cell,{K-Means},og_bin
559,SWI5,?,1,yeast_cell,{K-Means},og_bin
560,SWI5,0,5,yeast_cell,{K-Means},og_bin
561,SWI5,1,8,yeast_cell,{K-Means},og_bin
562,SWI6,?,6,yeast_cell,{K-Means},og_bin
563,SWI6,0,5,yeast_cell,{K-Means},og_bin
564,SWI6,1,3,yeast_cell,{K-Means},og_bin
565,ACE2,0,8,yeast_cell,{K-Means},bin_onlyMissForest
566,ACE2,1,6,yeast_cell,{K-Means},bin_onlyMissForest
567,CLN3,0,10,yeast_cell,{K-Means},bin_onlyMissForest
568,CLN3,1,4,yeast_cell,{K-Means},bin_onlyMissForest
569,FKH2,0,12,yeast_cell,{K-Means},bin_onlyMissForest
570,FKH2,1,2,yeast_cell,{K-Means},bin_onlyMissForest
571,MBP1,0,12,yeast_cell,{K-Means},bin_onlyMissForest
572,MBP1,1,2,yeast_cell,{K-Means},bin_onlyMissForest
573,MCM1,0,11,yeast_cell,{K-Means},bin_onlyMissForest
574,MCM1,1,3,yeast_cell,{K-Means},bin_onlyMissForest
575,NDD1,0,5,yeast_cell,{K-Means},bin_onlyMissForest
576,NDD1,1,9,yeast_cell,{K-Means},bin_onlyMissForest
577,SWI4,0,12,yeast_cell,{K-Means},bin_onlyMissForest
578,SWI4,1,2,yeast_cell,{K-Means},bin_onlyMissForest
579,SWI5,0,5,yeast_cell,{K-Means},bin_onlyMissForest
580,SWI5,1,9,yeast_cell,{K-Means},bin_onlyMissForest
581,SWI6,0,11,yeast_cell,{K-Means},bin_onlyMissForest
582,SWI6,1,3,yeast_cell,{K-Means},bin_onlyMissForest
583,ACE2,0,8,yeast_cell,{K-Means},bin_Prob_and_MissForest
584,ACE2,1,6,yeast_cell,{K-Means},bin_Prob_and_MissForest
585,CLN3,0,10,yeast_cell,{K-Means},bin_Prob_and_MissForest
586,CLN3,1,4,yeast_cell,{K-Means},bin_Prob_and_MissForest
587,FKH2,0,12,yeast_cell,{K-Means},bin_Prob_and_MissForest
588,FKH2,1,2,yeast_cell,{K-Means},bin_Prob_and_MissForest
589,MBP1,0,12,yeast_cell,{K-Means},bin_Prob_and_MissForest
590,MBP1,1,2,yeast_cell,{K-Means},bin_Prob_and_MissForest
591,MCM1,0,11,yeast_cell,{K-Means},bin_Prob_and_MissForest
592,MCM1,1,3,yeast_cell,{K-Means},bin_Prob_and_MissForest
593,NDD1,0,8,yeast_cell,{K-Means},bin_Prob_and_MissForest
594,NDD1,1,6,yeast_cell,{K-Means},bin_Prob_and_MissForest
595,SWI4,0,12,yeast_cell,{K-Means},bin_Prob_and_MissForest
596,SWI4,1,2,yeast_cell,{K-Means},bin_Prob_and_MissForest
597,SWI5,0,6,yeast_cell,{K-Means},bin_Prob_and_MissForest
598,SWI5,1,8,yeast_cell,{K-Means},bin_Prob_and_MissForest
599,SWI6,0,11,yeast_cell,{K-Means},bin_Prob_and_MissForest
600,SWI6,1,3,yeast_cell,{K-Means},bin_Prob_and_MissForest
601,ACE2,?,2,yeast_cell,{Onestep},og_bin
602,ACE2,0,7,yeast_cell,{Onestep},og_bin
603,ACE2,1,5,yeast_cell,{Onestep},og_bin
604,CLN3,?,6,yeast_cell,{Onestep},og_bin
605,CLN3,0,5,yeast_cell,{Onestep},og_bin
606,CLN3,1,3,yeast_cell,{Onestep},og_bin
607,FKH2,?,11,yeast_cell,{Onestep},og_bin
608,FKH2,0,1,yeast_cell,{Onestep},og_bin
609,FKH2,1,2,yeast_cell,{Onestep},og_bin
610,MBP1,?,9,yeast_cell,{Onestep},og_bin
611,MBP1,0,4,yeast_cell,{Onestep},og_bin
612,MBP1,1,1,yeast_cell,{Onestep},og_bin
613,MCM1,?,11,yeast_cell,{Onestep},og_bin
614,MCM1,0,2,yeast_cell,{Onestep},og_bin
615,MCM1,1,1,yeast_cell,{Onestep},og_bin
616,NDD1,?,6,yeast_cell,{Onestep},og_bin
617,NDD1,0,3,yeast_cell,{Onestep},og_bin
618,NDD1,1,5,yeast_cell,{Onestep},og_bin
619,SWI4,?,12,yeast_cell,{Onestep},og_bin
620,SWI4,0,2,yeast_cell,{Onestep},og_bin
621,SWI5,?,2,yeast_cell,{Onestep},og_bin
622,SWI5,0,5,yeast_cell,{Onestep},og_bin
623,SWI5,1,7,yeast_cell,{Onestep},og_bin
624,SWI6,?,7,yeast_cell,{Onestep},og_bin
625,SWI6,0,4,yeast_cell,{Onestep},og_bin
626,SWI6,1,3,yeast_cell,{Onestep},og_bin
627,ACE2,0,9,yeast_cell,{Onestep},bin_onlyMissForest
628,ACE2,1,5,yeast_cell,{Onestep},bin_onlyMissForest
629,CLN3,0,11,yeast_cell,{Onestep},bin_onlyMissForest
630,CLN3,1,3,yeast_cell,{Onestep},bin_onlyMissForest
631,FKH2,0,1,yeast_cell,{Onestep},bin_onlyMissForest
632,FKH2,1,13,yeast_cell,{Onestep},bin_onlyMissForest
633,MBP1,0,13,yeast_cell,{Onestep},bin_onlyMissForest
634,MBP1,1,1,yeast_cell,{Onestep},bin_onlyMissForest
635,MCM1,0,13,yeast_cell,{Onestep},bin_onlyMissForest
636,MCM1,1,1,yeast_cell,{Onestep},bin_onlyMissForest
637,NDD1,0,3,yeast_cell,{Onestep},bin_onlyMissForest
638,NDD1,1,11,yeast_cell,{Onestep},bin_onlyMissForest
639,SWI4,0,14,yeast_cell,{Onestep},bin_onlyMissForest
640,SWI5,0,5,yeast_cell,{Onestep},bin_onlyMissForest
641,SWI5,1,9,yeast_cell,{Onestep},bin_onlyMissForest
642,SWI6,0,11,yeast_cell,{Onestep},bin_onlyMissForest
643,SWI6,1,3,yeast_cell,{Onestep},bin_onlyMissForest
644,ACE2,0,9,yeast_cell,{Onestep},bin_Prob_and_MissForest
645,ACE2,1,5,yeast_cell,{Onestep},bin_Prob_and_MissForest
646,CLN3,0,11,yeast_cell,{Onestep},bin_Prob_and_MissForest
647,CLN3,1,3,yeast_cell,{Onestep},bin_Prob_and_MissForest
648,FKH2,0,12,yeast_cell,{Onestep},bin_Prob_and_MissForest
649,FKH2,1,2,yeast_cell,{Onestep},bin_Prob_and_MissForest
650,MBP1,0,13,yeast_cell,{Onestep},bin_Prob_and_MissForest
651,MBP1,1,1,yeast_cell,{Onestep},bin_Prob_and_MissForest
652,MCM1,0,13,yeast_cell,{Onestep},bin_Prob_and_MissForest
653,MCM1,1,1,yeast_cell,{Onestep},bin_Prob_and_MissForest
654,NDD1,0,9,yeast_cell,{Onestep},bin_Prob_and_MissForest
655,NDD1,1,5,yeast_cell,{Onestep},bin_Prob_and_MissForest
656,SWI4,0,14,yeast_cell,{Onestep},bin_Prob_and_MissForest
657,SWI5,0,7,yeast_cell,{Onestep},bin_Prob_and_MissForest
658,SWI5,1,7,yeast_cell,{Onestep},bin_Prob_and_MissForest
659,SWI6,0,11,yeast_cell,{Onestep},bin_Prob_and_MissForest
660,SWI6,1,3,yeast_cell,{Onestep},bin_Prob_and_MissForest
661,ACE2,?,2,yeast_cell,"{BASC A, K-Means}",og_bin
662,ACE2,0,7,yeast_cell,"{BASC A, K-Means}",og_bin
663,ACE2,1,5,yeast_cell,"{BASC A, K-Means}",og_bin
664,CLN3,?,7,yeast_cell,"{BASC A, K-Means}",og_bin
665,CLN3,0,4,yeast_cell,"{BASC A, K-Means}",og_bin
666,CLN3,1,3,yeast_cell,"{BASC A, K-Means}",og_bin
667,FKH2,?,11,yeast_cell,"{BASC A, K-Means}",og_bin
668,FKH2,0,1,yeast_cell,"{BASC A, K-Means}",og_bin
669,FKH2,1,2,yeast_cell,"{BASC A, K-Means}",og_bin
670,MBP1,?,11,yeast_cell,"{BASC A, K-Means}",og_bin
671,MBP1,0,3,yeast_cell,"{BASC A, K-Means}",og_bin
672,MCM1,?,13,yeast_cell,"{BASC A, K-Means}",og_bin
673,MCM1,0,1,yeast_cell,"{BASC A, K-Means}",og_bin
674,NDD1,?,8,yeast_cell,"{BASC A, K-Means}",og_bin
675,NDD1,1,6,yeast_cell,"{BASC A, K-Means}",og_bin
676,SWI4,?,11,yeast_cell,"{BASC A, K-Means}",og_bin
677,SWI4,0,1,yeast_cell,"{BASC A, K-Means}",og_bin
678,SWI4,1,2,yeast_cell,"{BASC A, K-Means}",og_bin
679,SWI5,?,2,yeast_cell,"{BASC A, K-Means}",og_bin
680,SWI5,0,5,yeast_cell,"{BASC A, K-Means}",og_bin
681,SWI5,1,7,yeast_cell,"{BASC A, K-Means}",og_bin
682,SWI6,?,9,yeast_cell,"{BASC A, K-Means}",og_bin
683,SWI6,0,3,yeast_cell,"{BASC A, K-Means}",og_bin
684,SWI6,1,2,yeast_cell,"{BASC A, K-Means}",og_bin
685,ACE2,0,9,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
686,ACE2,1,5,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
687,CLN3,0,11,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
688,CLN3,1,3,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
689,FKH2,0,1,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
690,FKH2,1,13,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
691,MBP1,0,14,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
692,MCM1,0,14,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
693,NDD1,1,14,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
694,SWI4,0,1,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
695,SWI4,1,13,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
696,SWI5,0,5,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
697,SWI5,1,9,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
698,SWI6,0,12,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
699,SWI6,1,2,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest
700,ACE2,0,9,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
701,ACE2,1,5,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
702,CLN3,0,11,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
703,CLN3,1,3,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
704,FKH2,0,12,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
705,FKH2,1,2,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
706,MBP1,0,14,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
707,MCM1,0,14,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
708,NDD1,0,8,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
709,NDD1,1,6,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
710,SWI4,0,12,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
711,SWI4,1,2,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
712,SWI5,0,7,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
713,SWI5,1,7,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
714,SWI6,0,12,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
715,SWI6,1,2,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest
716,ACE2,?,2,yeast_cell,"{BASC A, Onestep}",og_bin
717,ACE2,0,7,yeast_cell,"{BASC A, Onestep}",og_bin
718,ACE2,1,5,yeast_cell,"{BASC A, Onestep}",og_bin
719,CLN3,?,7,yeast_cell,"{BASC A, Onestep}",og_bin
720,CLN3,0,4,yeast_cell,"{BASC A, Onestep}",og_bin
721,CLN3,1,3,yeast_cell,"{BASC A, Onestep}",og_bin
722,FKH2,?,11,yeast_cell,"{BASC A, Onestep}",og_bin
723,FKH2,0,1,yeast_cell,"{BASC A, Onestep}",og_bin
724,FKH2,1,2,yeast_cell,"{BASC A, Onestep}",og_bin
725,MBP1,?,10,yeast_cell,"{BASC A, Onestep}",og_bin
726,MBP1,0,4,yeast_cell,"{BASC A, Onestep}",og_bin
727,MCM1,?,13,yeast_cell,"{BASC A, Onestep}",og_bin
728,MCM1,0,1,yeast_cell,"{BASC A, Onestep}",og_bin
729,NDD1,?,9,yeast_cell,"{BASC A, Onestep}",og_bin
730,NDD1,1,5,yeast_cell,"{BASC A, Onestep}",og_bin
731,SWI4,?,13,yeast_cell,"{BASC A, Onestep}",og_bin
732,SWI4,0,1,yeast_cell,"{BASC A, Onestep}",og_bin
733,SWI5,?,2,yeast_cell,"{BASC A, Onestep}",og_bin
734,SWI5,0,5,yeast_cell,"{BASC A, Onestep}",og_bin
735,SWI5,1,7,yeast_cell,"{BASC A, Onestep}",og_bin
736,SWI6,?,9,yeast_cell,"{BASC A, Onestep}",og_bin
737,SWI6,0,3,yeast_cell,"{BASC A, Onestep}",og_bin
738,SWI6,1,2,yeast_cell,"{BASC A, Onestep}",og_bin
739,ACE2,0,9,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
740,ACE2,1,5,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
741,CLN3,0,11,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
742,CLN3,1,3,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
743,FKH2,0,1,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
744,FKH2,1,13,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
745,MBP1,0,14,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
746,MCM1,0,14,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
747,NDD1,1,14,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
748,SWI4,0,14,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
749,SWI5,0,5,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
750,SWI5,1,9,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
751,SWI6,0,12,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
752,SWI6,1,2,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest
753,ACE2,0,9,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
754,ACE2,1,5,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
755,CLN3,0,11,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
756,CLN3,1,3,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
