,gene,binary,count,dataset,binarization,impu
82,ATM,0,1,P53-MDM2,"{BASC A, K-Means}",og_bin
83,ATM,1,3,P53-MDM2,"{BASC A, K-Means}",og_bin
84,MDM2,?,5,P53-MDM2,"{BASC A, K-Means}",og_bin
85,MDM2,0,1,P53-MDM2,"{BASC A, K-Means}",og_bin
86,MDM2,1,1,P53-MDM2,"{BASC A, K-Means}",og_bin
87,WIP1,?,6,P53-MDM2,"{BASC A, K-Means}",og_bin
88,WIP1,0,1,P53-MDM2,"{BASC A, K-Means}",og_bin
89,p53,?,2,P53-MDM2,"{BASC A, K-Means}",og_bin
90,p53,0,3,P53-MDM2,"{BASC A, K-Means}",og_bin
91,p53,1,2,P53-MDM2,"{BASC A, K-Means}",og_bin
92,ATM,0,1,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
93,ATM,1,6,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
94,MDM2,0,6,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
95,MDM2,1,1,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
96,WIP1,0,7,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
97,p53,0,5,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
98,p53,1,2,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
99,ATM,0,1,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
100,ATM,1,6,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
101,MDM2,0,1,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
102,MDM2,1,6,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
103,WIP1,0,1,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
104,WIP1,1,6,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
105,p53,0,3,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
106,p53,1,4,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
107,ATM,?,3,P53-MDM2,"{BASC A, Onestep}",og_bin
108,ATM,0,1,P53-MDM2,"{BASC A, Onestep}",og_bin
109,ATM,1,3,P53-MDM2,"{BASC A, Onestep}",og_bin
110,MDM2,?,5,P53-MDM2,"{BASC A, Onestep}",og_bin
111,MDM2,0,1,P53-MDM2,"{BASC A, Onestep}",og_bin
112,MDM2,1,1,P53-MDM2,"{BASC A, Onestep}",og_bin
113,WIP1,?,6,P53-MDM2,"{BASC A, Onestep}",og_bin
114,WIP1,0,1,P53-MDM2,"{BASC A, Onestep}",og_bin
115,p53,?,2,P53-MDM2,"{BASC A, Onestep}",og_bin
116,p53,0,3,P53-MDM2,"{BASC A, Onestep}",og_bin
117,p53,1,2,P53-MDM2,"{BASC A, Onestep}",og_bin
118,ATM,0,1,P53-MDM2,"{BASC A, Onestep}",bin_onlyMissForest
119,ATM,1,6,P53-MDM2,"{BASC A, Onestep}",bin_onlyMissForest
120,MDM2,0,6,P53-MDM2,"{BASC A, Onestep}",bin_onlyMissForest
121,MDM2,1,1,P53-MDM2,"{BASC A, Onestep}",bin_onlyMissForest
122,WIP1,0,7,P53-MDM2,"{BASC A, Onestep}",bin_onlyMissForest
123,p53,0,5,P53-MDM2,"{BASC A, Onestep}",bin_onlyMissForest
124,p53,1,2,P53-MDM2,"{BASC A, Onestep}",bin_onlyMissForest
125,ATM,0,1,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest
126,ATM,1,6,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest
127,MDM2,0,1,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest
128,MDM2,1,6,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest
129,WIP1,0,1,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest
130,WIP1,1,6,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest
131,p53,0,3,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest
132,p53,1,4,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest
133,ATM,?,3,P53-MDM2,"{K-Means, Onestep}",og_bin
134,ATM,0,1,P53-MDM2,"{K-Means, Onestep}",og_bin
135,ATM,1,3,P53-MDM2,"{K-Means, Onestep}",og_bin
136,MDM2,?,5,P53-MDM2,"{K-Means, Onestep}",og_bin
