,dataset,binarization,impu,binary,freq
84,ecoli_data,"{K-Means, Onestep}",og_bin,?,35
85,ecoli_data,"{K-Means, Onestep}",og_bin,0,201
86,ecoli_data,"{K-Means, Onestep}",og_bin,1,58
87,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest,0,236
88,ecoli_data,"{K-Means, Onestep}",bin_onlyMissForest,1,58
89,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest,0,236
90,ecoli_data,"{K-Means, Onestep}",bin_Prob_and_MissForest,1,58
91,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin,?,33
92,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin,0,201
93,ecoli_data,"{BASC A, K-Means, Onestep}",og_bin,1,60
94,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest,0,234
95,ecoli_data,"{BASC A, K-Means, Onestep}",bin_onlyMissForest,1,60
96,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest,0,234
97,ecoli_data,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest,1,60
98,yeast_cell,{BASC A},og_bin,?,73
99,yeast_cell,{BASC A},og_bin,0,26
100,yeast_cell,{BASC A},og_bin,1,27
101,yeast_cell,{BASC A},bin_onlyMissForest,0,67
102,yeast_cell,{BASC A},bin_onlyMissForest,1,59
103,yeast_cell,{BASC A},bin_Prob_and_MissForest,0,99
104,yeast_cell,{BASC A},bin_Prob_and_MissForest,1,27
105,yeast_cell,{K-Means},og_bin,?,50
106,yeast_cell,{K-Means},og_bin,0,40
107,yeast_cell,{K-Means},og_bin,1,36
108,yeast_cell,{K-Means},bin_onlyMissForest,0,86
109,yeast_cell,{K-Means},bin_onlyMissForest,1,40
110,yeast_cell,{K-Means},bin_Prob_and_MissForest,0,90
111,yeast_cell,{K-Means},bin_Prob_and_MissForest,1,36
112,yeast_cell,{Onestep},og_bin,?,66
113,yeast_cell,{Onestep},og_bin,0,33
114,yeast_cell,{Onestep},og_bin,1,27
115,yeast_cell,{Onestep},bin_onlyMissForest,0,80
116,yeast_cell,{Onestep},bin_onlyMissForest,1,46
117,yeast_cell,{Onestep},bin_Prob_and_MissForest,0,99
118,yeast_cell,{Onestep},bin_Prob_and_MissForest,1,27
119,yeast_cell,"{BASC A, K-Means}",og_bin,?,74
120,yeast_cell,"{BASC A, K-Means}",og_bin,0,25
121,yeast_cell,"{BASC A, K-Means}",og_bin,1,27
122,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest,0,67
123,yeast_cell,"{BASC A, K-Means}",bin_onlyMissForest,1,59
124,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest,0,99
125,yeast_cell,"{BASC A, K-Means}",bin_Prob_and_MissForest,1,27
126,yeast_cell,"{BASC A, Onestep}",og_bin,?,76
127,yeast_cell,"{BASC A, Onestep}",og_bin,0,26
128,yeast_cell,"{BASC A, Onestep}",og_bin,1,24
129,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest,0,80
130,yeast_cell,"{BASC A, Onestep}",bin_onlyMissForest,1,46
131,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest,0,102
132,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest,1,24
133,yeast_cell,"{K-Means, Onestep}",og_bin,?,67
134,yeast_cell,"{K-Means, Onestep}",og_bin,0,32
135,yeast_cell,"{K-Means, Onestep}",og_bin,1,27
136,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest,0,80
137,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest,1,46
138,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest,0,99
139,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest,1,27
140,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin,?,63
141,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin,0,33
142,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin,1,30
143,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest,0,78
144,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest,1,48
145,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest,0,96
146,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest,1,30
