Gene,Rule
FKH2,SWI6
ACE2,NDD1 and SWI5
SWI5,NDD1 or SWI4 or SWI6
MCM1,MBP1 and (MCM1 or NDD1 or not SWI5)
CLN3,SWI4 or (SWI5 and not NDD1)
MBP1,MBP1 and (MCM1 or NDD1 or not SWI5)
SWI4,MBP1 and (MCM1 or NDD1 or not SWI5)
SWI6,FKH2
NDD1,NDD1 and SWI5
