Gene,Rule
FKH2,ACE2 or FKH2 or NDD1
ACE2,ACE2
SWI5,SWI5
MCM1,MBP1 and (MCM1 or NDD1 or not SWI5)
CLN3,CLN3 and SWI6
MBP1,MBP1 and (MCM1 or NDD1 or not SWI5)
SWI4,ACE2 or FKH2 or NDD1
SWI6,MCM1
NDD1,ACE2 or FKH2 or NDD1
