Gene,Rule
FKH2,ACE2 or FKH2 or NDD1
ACE2,ACE2
SWI5,SWI5
MCM1,MBP1 and (MCM1 or NDD1 or not SWI5)
CLN3,SWI6
MBP1,MBP1 and (MCM1 or NDD1 or not SWI5)
SWI4,MBP1 and (MCM1 or NDD1 or not SWI5)
SWI6,MCM1 and (NDD1 or SWI5 or not SWI6)
NDD1,ACE2 or FKH2 or NDD1
