Gene,Rule
FKH2,CLN3 and SWI6
ACE2,not MBP1 and SWI5
SWI5,not MBP1 and SWI5 or MBP1 and not SWI5
MCM1,not FKH2 and SWI6
CLN3,not CLN3 and MBP1 and SWI5 or CLN3 and not MBP1 and SWI5 or CLN3 and MBP1 and not SWI5
MBP1,MBP1 and not SWI5
SWI4,not CLN3 and MBP1 and SWI5 or CLN3 and not SWI5
SWI6,not FKH2 and MCM1 or FKH2 and not MCM1
NDD1,not CLN3 and not MBP1 or CLN3 and SWI6 or not MBP1 and SWI6
