Gene,Rule
FKH2,ACE2 and CLN3 and SWI6
ACE2,NDD1
SWI5,NDD1
MCM1,MBP1 and (MCM1 or NDD1 or not SWI5)
CLN3,CLN3 and SWI6
MBP1,MBP1 and (MCM1 or NDD1 or not SWI5)
SWI4,CLN3 and SWI4
SWI6,FKH2 and NDD1
NDD1,NDD1 and SWI5
