basc,kmeans,onestep,shmulevich
0.789949,0.000298,0.002132,0.000170
0.669943,0.000487,0.001412,0.000332
0.465975,0.001012,0.003080,0.000774
0.296605,0.001398,0.004876,0.001100
0.209166,0.001724,0.006922,0.001504
0.228786,0.003100,0.009624,0.002671
0.217229,0.003871,0.010357,0.003299
