basc,kmeans,onestep,shmulevich
25.150518,0.001083,0.017075,0.000389
22.177460,0.001904,0.009737,0.000708
15.045629,0.003969,0.007989,0.001665
8.918980,0.005297,0.017122,0.002284
5.532657,0.007323,0.024066,0.003196
4.271521,0.011994,0.036185,0.005230
3.213736,0.014683,0.040435,0.006337
